topic_id,topic_label,top_terms,stability_jaccard
0,Baggage Handling,"carry, policy, change, bag, luggage, check, need, review, cancellation, experience",0.605
1,Refunds & Booking Policy,"service, type, seat, class, traveller, food, economy, ground, route, money",0.605
2,Crew & Onboard Service,"seat, class, check, business, passenger, experience, time, crew, cabin, staff",0.605
3,Food & Beverage,"service, good, poor, excellent, average, check, food, drink, room, baggage",0.605
4,Delays & Cancellations,"delay, cancel, tell, book, customer, time, ticket, hotel, delta, luggage",0.605
5,Refunds & Booking Policy (2),"review, book, point, card, look, time, good, want, like, experience",0.605
6,"General — feel, telegram","feel, telegram, body, video, eye, moan, cock, close, pleasure, aviation",0.605
